state,population
AL,4907.965
AK,733.603
AZ,7291.843
AR,3020.985
CA,39437.61
CO,5758.486
CT,3566.022
DE,976.668
FL,21492.056
GA,10628.02
HI,1415.615
ID,1789.06
IL,12667.017
IN,6731.01
IA,3159.596
KS,2912.635
KY,4472.345
LA,4658.285
ME,1345.77
MD,6054.954
MA,6894.883
MI,9984.795
MN,5640.053
MS,2978.227
MO,6140.475
MT,1070.123
NE,1932.571
NV,3090.771
NH,1360.783
NJ,8891.258
NM,2099.634
NY,19463.131
NC,10501.384
ND,763.724
OH,11696.507
OK,3960.676
OR,4216.116
PA,12798.883
RI,1058.158
SC,5157.702
SD,887.127
TN,6830.325
TX,28986.794
UT,3203.383
VT,624.046
VA,8556.642
WA,7614.024
WV,1795.263
WI,5824.581
WY,580.116
